I have been made aware that some of the information is not up-to-date. When this spreadsheet was in development, multiple major balancing updates came around and it was difficult to keep track of them. The affected cards will be updated soon. Thank you for understanding.												
Album	Collection	Name	Rarity	Energy Cost	Power	Power per Energy	Type	Ability	Card Model Number	CUE Card Release Schedule		
Oceans and Seas	Cephalopods	Mimic Octopus	Legendary	8	88	11.0	Limited Card	Sucker Punch - When played, if you lose the turn, steal 4 Energy from your Opponent.		Day	Release	
	Crustaceans	Red-Spotted Box Crab	Common	3	28	9.3	Limited Card	In a Pinch - When drawn, if you are losing the round, this card costs 2 less Energy this turn.		Monday	Cards for next week's League	
		Emperor Shrimp	Rare	4	64	16.0	Limited Card	Scuttle By - When returned to your deck, your Opponent gains 1 Energy.		Tuesday	New Limited card	
		Ecuadorian Hermit Crab	Common	7	62	8.9	Limited Card			Wednesday	New cards from a current Limited Collection	
		Horned Ghost Crab	Common	1	9	9.0	Limited Card			Thursday	Limited Collection from a previous week	
		Spiny Lobster	Common	2	19	9.5	Limited Card			Friday	New Fusion card	
		Porcelain Crab	Common	8	69	8.6	Limited Card	Delicate Situation - When played on a matching Arena, this card has +20 Power.		Saturday	New cards from a current Basic collection	
		Japanese Spider Crab	Legendary	3	37	12.3	Limited Card	I'll Pinch That… - When drawn, steal 1 Energy from your Opponent.		Sunday	New Limited card	
	Deep Ocean	Weedy Sea Dragon	Rare	2	18	9.0		Dragon Your Heels - When played, if you are losing the round, this card has +25 Power.				
		Painted Frogfish	Common	4	32	8.0						
		Longnose Hawkfish	Common	7	55	7.9						
		Hairy Frogfish	Common	5	0	0.0		Hair Today… - When drawn, this card has +60 Power this turn.				
		Fangtooth Moray	Epic	3	29	9.7		That's a Moray… - When drawn, give The Moon +60 Power until played.				
		Napoleon Fish	Epic	2	0	0.0	Limited Card	Napoleon Complex - When played, this has +50 Power if you are winning the round.				
		Stingray	Legendary	2	28	14.0	Fusion Ingredient	Standby for ACTION! - When played, your cards have +18 Power this turn.				
		Japanese Sea Nettle	Common	3	26	8.7	Fusion Ingredient					
		Giant Isopod	Rare	8	72	9.0	Fusion Ingredient	Bug Out - When played, if you lose the turn, gain +3 Energy.				
		Falco Hawkfish	Fusion	6	65	10.8		Hawk-ward… - When played, your Sea Birds cards have +30 Power this turn.				
	Fish	Blue Marlin	Common	4	34	8.5						
		Bluefin Tuna	Common	1	8	8.0	Fusion Ingredient					
		Great Barracuda	Common	1	14	14.0		Water Sprinter - The Great Barracuda can't hold pace for long. Lose 1 Energy the turn after it's played.				
		Sun Fish	Common	6	53	8.8	Fusion Ingredient					
		Lion Fish	Common	4	33	8.3						
		Scorpion Fish	Rare	7	60	8.6		Spiked! - When played, your venom drains 1 Energy per turn from your Opponent until the end of this Round.				
		Sailfish	Common	5	48	9.6	Fusion Ingredient					
		Clown Fish	Epic	4	32	8.0		Finding Marlin - If you're holding Blue Marlin when you draw this, give it +25 Power for the rest of the Game.				
		Yellow Tang	Common	3	28	9.3						
		Firefish Goby	Rare	4	28	7.0		Friendly Fish - Fire Goby provides other Fish cards with +10 Power when played.				
		Anthias	Common	7	59	8.4						
		Copperband Butterflyfish	Legendary	9	77	8.6	Fusion Ingredient	Picky Eater - Gain 2 Energy when this card returns to your deck.				
		Oriental Flying Gurnard	Common	6	55	9.2						
		Queen Angelfish	Fusion	5	35	7.0		Something's Fishy - Your Oceans and Seas cards cost 5 Energy less in the turn you draw this.				
		Puffer Fish	Common	3	17	5.7						
		Diamond Tetra	Epic	5	10	0.0		Diamonds Are Forever - When this card returns to your deck, gain +10 Power per turn for the rest of the game.				
	Ocean Mammals	Sea Otter	Common	7	58	8.3						
		Polar Bear	Epic	7	60	8.6		Bite Force - If winning the round, the largest land carnivore gives +10 Power when played.				
		Elephant Seal	Common	8	71	8.9						
		Bottlenose Dolphin	Rare	7	52	7.4	Fusion Ingredient	Kings of Communication - Advance the cause of Ocean Mammals by reducing the Energy cost of others in your hand by 2 (when drawn).				
		Beluga Whale	Common	2	17	8.5		Walesong - With sounds travelling 100 miles, whalesong lifts all Oceans and Seas cards with +10 Power when played.				
		Leopard Seal	Common	5	36	7.2						
		Sperm Whale	Rare	1	5	5.0	Fusion Ingredient	Back from the Brink - If you are losing the round when this is returns to your deck, gain +4 Energy.				
		Spotted Dolphin	Common	8	68	8.5						
		Orca	Legendary	6	54	9.0	Fusion Ingredient	All Killer - Oceans and Seas cards for both players take -20 Power on the turn this is played.				
		West Indian Manatee	Common	4	35	8.8						
		Pilot Whale	Common	3	26	8.7						
		Sea Lion	Common	10	84	8.4						
		Atlantic Walrus	Common	3	24	8.0						
		Dugong	Common	6	54	9.0		Mermaid's Lure - When drawn, Ancient Greece cards in play require 2 less energy.				
		Humpback Whale	Fusion	7	60	15.0		Mighty Flipper - With flippers this large, swimming is easy. Get 3 Energy back when played.				
		Vaquita	Rare	5	48	9.6		Act with Porpoise - When played on the first turn of a Round, this card had +20 Power.				
		Amazon River Dolphin	Rare	2	18	9.0		Think Pink! - When played with Flamingos, give that card +50 Power.				
		Spinner Dolphin	Epic	8	59	7.4	Limited Card	Spear from the Sea - When this card returns to your deck, steal 3 Energy from your opponent.				
		Pacific Walrus	Legendary	7	40	5.7		Up to the Tusk? - When this returns to your deck, if you won this turn, gain +100 Power next turn.				
		Harp Seal	Epic	3	27	9.0		Plucky - When this returns to your deck, if you win the turn, gain +2 Energy next turn.				
	Ocean Reptiles	Banded Sea Krait	Rare	6	55	9.2		Serpent-up Frustration - When played with Bushmaster, give that card +30 Power.				
		Galapagos Marine Iguana	Common	2	17	8.5		Avian Symbiosis - When played, your Birds cards have +15 Power.				
		Saltwater Crocodile	Common	1	8	8.0		Salty? - When played with Sodium, give that card +25 Power.				
		Olive Ridley Sea Turtle	Rare	5	45	9.0		Hero in a Half Shell - When played, your Ocean Reptiles cards have +20 Power this turn.				
	Oceans & Seas Holiday Specials	Turtle Dove	Epic	2	16	8.0	Limited Card					
		Geese	Epic	3	24	8.0	Limited Card					
		Swans	Epic	4	38	9.5	Limited Card					
		Horn Shark Egg	Epic	6	57	9.5	Fusion Ingredient	Eggs in One Basket - If you play this with Dinosaur Eggs, give it +40 Power.				
	Oceans and Seas Mythic Cards	Kraken	Mythic	6	50	8.3		Terror from the Deep - When you play this, your Oceans and Seas cards have +40 Power.				
	Oceans & Seas Special Fusions	Crown-of-Thorns Starfish	Fusion	6	90	15.0		Heavy is the Head - When played, if you are winning the round, this card has -50 Power.				
	Riding the Waves!	RMS Lusitania	Common	4	34	8.5	Fusion Ingredient					
		Titanic	Legendary	4	36	9.0		Unsinkable? - All Riding the Waves cards (including this) played this turn have +30 Power.				
		HMS Victory	Rare	7	42	6.0	Limited Card	Victory Formation - If you win a turn you played this card in, game +3 Energy.				
		Fram	Common	4	32	8.0		Break the Ice - If played on the first Turn of a Round, this has +15 Power.				
		The Mayflower	Rare	6	67	11.2						
		The Golden Hinde	Epic	5	29	5.8		Drake's Fortune - If you win a turn this was played on, gain +10 Power per Turn for the rest of the game.				
		Pioneering Spirit	Fusion	7	54	7.7		Oil Be There For You - If you play this alongside Offshore Oil Platform, give it +70 Power.				
		Santa Maria	Common	7	45	6.4	Fusion Ingredient					
		Mary Celeste	Rare	5	70	14.0	Limited Card	Abandon Ship? - If you are losing the round, this card has 0 base power.				
		Nao Victoria	Rare	6	58	9.7		Circumnavigate the Planets - Any Solar System cards you play alongside this have +18 Power.				
		USS Constitution	Epic	5	37	7.4	Fusion Ingredient	 Messages from Outer Space - When drawn, your Space Technology cards have +15 Power until played.        				
		Leif Erikson	Legendary	3	28	9.3	Limited Card	Turn over a new Leif - When drawn, if you are losing the round, gain +4 Energy.				
	Sea Birds	Cormorant	Common	1	9	9.0		Hold your Breath - When returned to your deck, gain +9 Power next turn. (Note, this applies for 2 turns)				
		Chinstrap Penguin	Common	5	46	9.2		Penguin Suit - When played with Yellow-eyed Penguin, give that card +20 Power.				
		Sooty Terns	Common	4	34	8.5						
		Puffin	Rare	5	49	9.8	Limited Card	Sea Parrot -  When played, your Oceans and Seas cards have +10 Power this turn.				
		Brown Pelican	Common	6	51	8.5						
		Albatross	Epic	5	40	8.0		Bad Omens... - When played, your Opponent's cards have -10 Power for this turn and next turn.				
		Gannets	Rare	3	30	10.0	Limited Card	Swoop Dive - When played, your Sea Birds card have +20 Power this turn.				
		Macaroni Penguin	Common	2	18	9.0		Penguin Suit - When played with Yellow-eyed Penguin, give that card +20 Power.				
		Ring-Billed Gull	Common	3	28	9.3		Ring-a-Ding-Ding! - When played with Saturn, give that card +15 Power.				
		Pacific Gull	Common	5	45	9.0						
		Blue-Footed Booby	Rare	7	45	6.4		Don't You Step On My Blue Webbed Toes - When played, your Oceans and Seas cards have +5 Power this turn and next.				
		Royal Penguin	Fusion	5	57	11.4		By Royal Decree - When played, your Mad Monarchs have +50 Power this turn.				
